ticker,group,segment,entry_date,expiry,dte,horizon,fold_id,short_strike,wing_strike,width,credit,max_loss,maxloss_c,ivrank,vrp_score,vrp_rel,dispersion,size_units,n_raw,contracts,entry_spot,settle_spot,breached,exit_date,exit_reason,gross_pnl,cost,pnl,pnl_pct_nav
SMH,us_technology_sector,xsec,2010-01-07,2010-02-20,44,22,0,26.0,24.0,2.0,0.24000000000000002,1.76,176.0,NaN,0.0018213877180232032,0.30202502657634056,0.45466303814971315,1.0,227.27272727272728,227.0,27.96,26.84,false,2010-02-20,expiry,5448.000000000001,295.1,5152.900000000001,0.00257645
SPY,us_large_cap_equity,xsec,2010-01-07,2010-02-20,44,22,0,109.0,104.0,5.0,0.5700000000000001,4.43,443.0,NaN,0.0008154259998322906,0.3566996897542791,0.6948524213767218,1.0,90.29345372460497,90.0,114.19,111.14,false,2010-02-20,expiry,5130.000000000001,117.0,5013.000000000001,0.0025065000000000005
SPY,us_large_cap_equity,xsec,2010-01-14,2010-02-20,37,22,0,111.0,106.0,5.0,0.5700000000000001,4.43,443.0,NaN,0.000647159531592908,0.3151640654777001,0.6725626562469241,1.0,90.29345372460497,90.0,114.93,111.14,false,2010-02-20,expiry,5130.000000000001,117.0,5013.000000000001,0.0025065000000000005
XRT,us_discretionary_sector,xsec,2010-01-14,2010-02-20,37,22,0,34.0,33.0,1.0,0.11000000000000001,0.89,89.0,NaN,0.0007221008807786317,0.18181710827373762,0.5116142068231957,1.0,449.438202247191,449.0,36.26,36.77,false,2010-02-20,expiry,4939.000000000001,583.7,4355.300000000001,0.0021776500000000006
SPY,us_large_cap_equity,xsec,2010-01-21,2010-02-20,30,22,0,107.0,102.0,5.0,0.56,4.4399999999999995,443.99999999999994,NaN,0.0007766137604136212,0.2662570565147739,0.6214582890151648,1.0,90.0900900900901,90.0,111.7,111.14,false,2010-02-20,expiry,5040.000000000001,117.0,4923.000000000001,0.0024615000000000006
USO,oil_and_energy,xsec,2010-01-21,2010-02-20,30,22,0,35.0,33.0,2.0,0.27,1.73,173.0,NaN,0.0016927379589111915,0.1966753234291305,0.3363324284657675,1.0,231.21387283236993,231.0,37.24,39.09,false,2010-02-20,expiry,6237.0,300.3,5936.7,0.00296835
DIA,us_large_cap_equity,xsec,2010-02-04,2010-03-20,44,22,1,95.0,88.0,7.0,0.8300000000000001,6.17,617.0,NaN,0.0012123096545089513,0.3366240251269919,0.5618052348068698,1.0,64.82982171799027,65.0,100.04,107.34,false,2010-03-20,expiry,5395.0,84.5,5310.5,0.00265525
SPY,us_large_cap_equity,xsec,2010-02-04,2010-03-20,44,22,1,100.0,92.0,8.0,1.0,7.0,700.0,NaN,0.001522527301475501,0.3130105666450892,0.6656695674871214,1.0,57.142857142857146,57.0,106.44,115.97,false,2010-03-20,expiry,5700.0,74.10000000000001,5625.9,0.00281295
SPY,us_large_cap_equity,xsec,2010-02-11,2010-03-20,37,22,1,103.0,95.0,8.0,1.0,7.0,700.0,NaN,0.0004485671388710934,0.1195543692750804,0.5790884338873661,1.0,57.142857142857146,57.0,108.13,115.97,false,2010-03-20,expiry,5700.0,74.10000000000001,5625.9,0.00281295
TLT,us_rates_and_ig_credit,xsec,2010-02-11,2010-03-20,37,22,1,87.0,84.0,3.0,0.36,2.64,264.0,NaN,0.00008073696170492173,0.06015759138114721,0.3713551352322189,1.0,151.5151515151515,152.0,89.82,91.26,false,2010-03-20,expiry,5472.0,197.6,5274.4,0.0026371999999999997
KRE,us_cyclicals_sector,xsec,2010-02-18,2010-03-20,30,22,1,22.5,21.0,1.5,0.2,1.3,130.0,NaN,0.0014523272745486041,0.1653924658398168,0.7257372656827935,1.0,307.6923076923077,308.0,23.95,26.42,false,2010-03-20,expiry,6160.0,400.40000000000003,5759.6,0.0028798
SPY,us_large_cap_equity,xsec,2010-02-18,2010-03-20,30,22,1,106.0,102.0,4.0,0.45999999999999996,3.54,354.0,NaN,0.0004492785987571151,0.1622587748232773,0.5739355510664805,1.0,112.99435028248588,113.0,110.91,115.97,false,2010-03-20,expiry,5198.0,146.9,5051.1,0.00252555
SPY,us_large_cap_equity,xsec,2010-03-04,2010-03-31,27,22,2,109.0,105.0,4.0,0.48000000000000004,3.52,352.0,NaN,0.0003640869486932145,0.1741679863380989,0.5952045471921724,1.0,113.63636363636364,114.0,112.64,117.0,false,2010-03-31,expiry,5472.000000000001,148.20000000000002,5323.800000000001,0.0026619000000000005
XLF,us_cyclicals_sector,xsec,2010-03-04,2010-04-17,44,22,2,14.0,13.0,1.0,0.1,0.9,90.0,NaN,0.0003848570286283737,0.09737276146964777,0.649428223412471,1.0,444.44444444444446,444.0,14.93,16.36,false,2010-04-17,expiry,4440.0,577.2,3862.8,0.0019314
DIA,us_large_cap_equity,xsec,2010-03-11,2010-04-17,37,22,2,102.0,98.0,4.0,0.43000000000000005,3.57,357.0,NaN,0.0003010765901388479,0.1770694389155052,0.5672052514098934,1.0,112.04481792717087,112.0,106.28,110.18,false,2010-04-17,expiry,4816.000000000001,145.6,4670.400000000001,0.0023352000000000004
SPY,us_large_cap_equity,xsec,2010-03-11,2010-04-17,37,22,2,111.0,106.0,5.0,0.6500000000000001,4.35,434.99999999999994,NaN,0.00046910732846889083,0.21787462388249557,0.6128251684995126,1.0,91.95402298850576,92.0,115.45,119.36,false,2010-04-17,expiry,5980.000000000001,119.60000000000001,5860.400000000001,0.0029302000000000004
FXI,china_equity,xsec,2010-03-18,2010-04-17,30,22,2,39.0,37.0,2.0,0.26,1.74,174.0,NaN,0.0012868569455376823,0.20640571412861347,0.5984934339960408,1.0,229.88505747126436,230.0,41.42,42.31,false,2010-04-17,expiry,5980.0,299.0,5681.0,0.0028405
IWM,us_small_cap_equity,xsec,2010-03-18,2010-04-17,30,22,2,65.0,63.0,2.0,0.28,1.72,172.0,NaN,0.0014671717489701279,0.3804633089876459,0.5159318211579733,1.0,232.5581395348837,233.0,68.26,71.46,false,2010-04-17,expiry,6524.000000000001,302.90000000000003,6221.100000000001,0.0031105500000000006
DIA,us_large_cap_equity,xsec,2010-04-08,2010-05-22,44,22,3,105.0,101.0,4.0,0.42,3.58,358.0,NaN,0.000404983505415839,0.2807002190277857,0.6003262315205306,1.0,111.73184357541899,112.0,109.37,101.84,true,2010-05-22,expiry,-30687.999999999964,145.6,-30833.599999999962,-0.01541679999999998
FXI,china_equity,xsec,2010-04-08,2010-05-22,44,22,3,41.0,38.0,3.0,0.39,2.61,261.0,NaN,0.0011855220337838972,0.2182779884101675,0.6013307689458491,1.0,153.25670498084293,153.0,43.77,38.21,true,2010-05-22,expiry,-36719.99999999999,198.9,-36918.899999999994,-0.01845945
DIA,us_large_cap_equity,xsec,2010-04-15,2010-05-22,37,22,3,108.0,104.0,4.0,0.42999999999999994,3.5700000000000003,357.0,NaN,0.0005009745222779358,0.37323739867619893,0.599468814563677,1.0,112.04481792717087,112.0,111.56,101.84,true,2010-05-22,expiry,-39984.0,145.6,-40129.6,-0.0200648
SPY,us_large_cap_equity,xsec,2010-04-15,2010-05-22,37,22,3,117.0,113.0,4.0,0.43000000000000005,3.57,357.0,NaN,0.000633664694323726,0.3707577116406219,0.683783229602818,1.0,112.04481792717087,112.0,121.29,109.11,true,2010-05-22,expiry,-39983.99999999999,145.6,-40129.59999999999,-0.020064799999999997
DIA,us_large_cap_equity,xsec,2010-04-22,2010-05-22,30,22,3,108.0,105.0,3.0,0.31999999999999995,2.68,268.0,NaN,0.00007548049857372327,0.056294293656361294,0.5369321493921673,1.0,149.2537313432836,149.0,111.35,101.84,true,2010-05-22,expiry,-39932.0,193.70000000000002,-40125.7,-0.02006285
GLD,precious_metals,xsec,2010-05-06,2010-06-19,44,22,4,112.0,106.0,6.0,0.83,5.17,517.0,NaN,0.001604035441370547,0.3361901188135202,0.3919996605984389,1.0,77.36943907156673,77.0,118.49,122.83,false,2010-06-19,expiry,6391.0,100.10000000000001,6290.9,0.0031454499999999997
TLT,us_rates_and_ig_credit,xsec,2010-05-06,2010-06-19,44,22,4,93.0,89.0,4.0,0.62,3.38,338.0,NaN,0.0005591836684200064,0.17102627020213682,0.49368931638553554,1.0,118.34319526627219,118.0,96.79,97.69,false,2010-06-19,expiry,7316.0,153.4,7162.6,0.0035813000000000004
GLD,precious_metals,xsec,2010-05-13,2010-06-19,37,22,4,115.0,110.0,5.0,0.71,4.29,429.0,NaN,0.0006324344264436641,0.16358316715625695,0.3794738795671304,1.0,93.24009324009324,93.0,120.56,122.83,false,2010-06-19,expiry,6603.0,120.9,6482.1,0.00324105
DIA,us_large_cap_equity,xsec,2010-05-20,2010-06-19,30,22,4,93.0,84.0,9.0,0.97,8.03,802.9999999999999,NaN,0.003146053013437404,0.31589322460070157,0.5404222112498877,1.0,49.81320049813201,50.0,101.11,104.49,false,2010-06-19,expiry,4850.0,65.0,4785.0,0.0023925
IWM,us_small_cap_equity,xsec,2010-05-20,2010-06-19,30,22,4,58.0,55.0,3.0,0.44999999999999996,2.55,254.99999999999997,NaN,0.005844290353153397,0.29776117023032855,0.4949003732521405,1.0,156.86274509803923,157.0,64.12,66.8,false,2010-06-19,expiry,7064.999999999999,204.1,6860.899999999999,0.0034304499999999994
GLD,precious_metals,xsec,2010-05-27,2010-06-30,34,22,4,114.0,109.0,5.0,0.71,4.29,429.0,NaN,0.00041289751221742317,0.11634385320404263,0.36882237148620206,1.0,93.24009324009324,93.0,118.69,121.68,false,2010-06-30,expiry,6603.0,120.9,6482.1,0.00324105
GLD,precious_metals,xsec,2010-06-03,2010-06-30,27,22,5,114.0,110.0,4.0,0.5499999999999999,3.45,345.0,NaN,0.00006217598997233093,0.05,0.3609087052911361,1.0,115.94202898550725,116.0,117.96,121.68,false,2010-06-30,expiry,6379.999999999999,150.8,6229.199999999999,0.0031145999999999995
XLB,us_materials_sector,xsec,2010-06-03,2010-07-17,44,22,5,28.0,25.0,3.0,0.37000000000000005,2.63,263.0,NaN,0.0002578068868107231,0.05,0.5304982553629883,1.0,152.0912547528517,152.0,30.31,29.83,false,2010-07-17,expiry,5624.000000000001,197.6,5426.400000000001,0.0027132000000000002
GLD,precious_metals,xsec,2010-06-10,2010-07-17,37,22,5,114.0,107.0,7.0,0.86,6.14,614.0,NaN,0.00003376540616182493,0.05,0.3612188228462186,1.0,65.14657980456026,65.0,118.97,116.67,false,2010-07-17,expiry,5590.0,84.5,5505.5,0.00275275
IWM,us_small_cap_equity,xsec,2010-06-10,2010-07-17,37,22,5,59.0,54.0,5.0,0.7999999999999999,4.2,420.0,NaN,0.0005302447669332227,0.05,0.5176553324610431,1.0,95.23809523809524,95.0,64.07,61.07,false,2010-07-17,expiry,7600.0,123.5,7476.5,0.00373825
GLD,precious_metals,xsec,2010-06-17,2010-07-17,30,22,5,117.0,112.0,5.0,0.6400000000000001,4.359999999999999,435.99999999999994,NaN,0.0009832834803147365,0.2769593703632661,0.37002870995528375,1.0,91.74311926605506,92.0,121.9,116.67,true,2010-07-17,expiry,2852.0000000000164,119.60000000000001,2732.4000000000165,0.0013662000000000082
IWM,us_small_cap_equity,xsec,2010-06-17,2010-07-17,30,22,5,63.0,58.0,5.0,0.73,4.27,426.99999999999994,NaN,0.0002885631377888345,0.05,0.5262667121504353,1.0,93.67681498829042,94.0,66.76,61.07,true,2010-07-17,expiry,-11279.999999999998,122.2,-11402.199999999999,-0.0057011
GLD,precious_metals,xsec,2010-07-08,2010-08-21,44,22,6,112.0,107.0,5.0,0.6200000000000001,4.38,438.0,NaN,0.00011839681054877328,0.05,0.37018054148721186,1.0,91.32420091324201,91.0,117.21,119.97,false,2010-08-21,expiry,5642.000000000001,118.3,5523.700000000001,0.00276185
