ticker,group,segment,entry_date,expiry,dte,horizon,fold_id,short_strike,wing_strike,width,credit,max_loss,maxloss_c,ivrank,vrp_score,vrp_rel,dispersion,size_units,n_raw,contracts,entry_spot,settle_spot,breached,exit_date,exit_reason,gross_pnl,cost,pnl,pnl_pct_nav
FXI,china_equity,xsec,2010-01-12,2010-02-20,39,22,0,40.0,37.0,3.0,0.36,2.64,264.0,NaN,0.001808756383772099,0.2641180287535859,0.617731660214602,1.0,151.5151515151515,152.0,43.0,39.03,true,2010-02-20,expiry,-9271.999999999982,197.6,-9469.599999999982,-0.004734799999999991
XRT,us_discretionary_sector,xsec,2010-01-12,2010-02-20,39,22,0,34.0,32.0,2.0,0.22999999999999998,1.77,177.0,NaN,0.0013913177448278014,0.27133668232074154,0.5128311461817472,1.0,225.98870056497177,226.0,36.16,36.77,false,2010-02-20,expiry,5198.0,293.8,4904.2,0.0024521
DIA,us_large_cap_equity,xsec,2010-01-19,2010-02-20,32,22,0,104.0,100.0,4.0,0.43000000000000005,3.57,357.0,NaN,0.0005036120835882746,0.32665998308571276,0.5675456748679509,1.0,112.04481792717087,112.0,107.17,103.99,true,2010-02-20,expiry,4703.999999999944,145.6,4558.399999999943,0.0022791999999999717
SPY,us_large_cap_equity,xsec,2010-01-19,2010-02-20,32,22,0,111.0,107.0,4.0,0.45,3.55,355.0,NaN,0.0006946721639377971,0.35591604075361616,0.637552275751942,1.0,112.67605633802818,113.0,115.06,111.14,false,2010-02-20,expiry,5085.0,146.9,4938.1,0.00246905
DIA,us_large_cap_equity,xsec,2010-01-26,2010-02-20,25,22,0,98.0,93.0,5.0,0.5,4.5,450.0,NaN,0.0008968436055436999,0.2996298997144548,0.5592336837909859,1.0,88.88888888888889,89.0,101.88,103.99,false,2010-02-20,expiry,4450.0,115.7,4334.3,0.00216715
SPY,us_large_cap_equity,xsec,2010-01-26,2010-02-20,25,22,0,105.0,99.0,6.0,0.7,5.3,530.0,NaN,0.0009140262241796198,0.25446541830574226,0.6303770304009932,1.0,75.47169811320755,75.0,109.31,111.14,false,2010-02-20,expiry,5250.0,97.5,5152.5,0.00257625
IWM,us_small_cap_equity,xsec,2010-02-09,2010-03-20,39,22,1,56.0,51.0,5.0,0.65,4.35,434.99999999999994,NaN,0.0007739050409360949,0.125157313137143,0.5056609916398325,1.0,91.95402298850576,92.0,59.49,67.41,false,2010-03-20,expiry,5980.0,119.60000000000001,5860.4,0.0029302
USO,oil_and_energy,xsec,2010-02-09,2010-03-20,39,22,1,34.0,31.0,3.0,0.54,2.46,246.0,NaN,0.0017844293385950328,0.15493539834979997,0.3398935448077041,1.0,162.60162601626016,163.0,36.21,39.2,false,2010-03-20,expiry,8802.0,211.9,8590.1,0.00429505
SPY,us_large_cap_equity,xsec,2010-02-16,2010-03-20,32,22,1,105.0,98.0,7.0,0.86,6.14,614.0,NaN,0.0001527614552667149,0.05,0.5733766167482373,1.0,65.14657980456026,65.0,109.74,115.97,false,2010-03-20,expiry,5590.0,84.5,5505.5,0.00275275
TLT,us_rates_and_ig_credit,xsec,2010-02-16,2010-03-20,32,22,1,88.0,86.0,2.0,0.30000000000000004,1.7,170.0,NaN,0.00007372171316194281,0.05915957741795777,0.3780911910359306,1.0,235.2941176470588,235.0,90.36,91.26,false,2010-03-20,expiry,7050.000000000001,305.5,6744.500000000001,0.0033722500000000002
