ticker,group,segment,entry_date,expiry,dte,horizon,fold_id,short_strike,wing_strike,width,credit,max_loss,maxloss_c,ivrank,vrp_score,vrp_rel,dispersion,size_units,n_raw,contracts,entry_spot,settle_spot,breached,exit_date,exit_reason,gross_pnl,cost,pnl,pnl_pct_nav
XLE,oil_and_energy,degraded,2008-02-28,2008-03-31,32,22,,74.0,69.0,5.0,0.56,4.4399999999999995,443.99999999999994,0.6735395189003437,-0.000702346501057197,0.05,1.3802730911075558,0.007873380066469895,0.7093135195017924,1.0,78.66,74.06,false,2008-03-31,expiry,56.00000000000001,1.3,54.70000000000001,0.000027350000000000004
TLT,us_rates_and_ig_credit,degraded,2008-04-11,2008-05-17,36,22,,93.0,90.0,3.0,0.44999999999999996,2.55,254.99999999999997,0.719626168224299,0.00005810565683563116,0.05,0.6811826368746908,0.03232690450078815,5.070886980515789,5.0,95.67,91.84,true,2008-05-17,expiry,-354.9999999999983,6.5,-361.4999999999983,-0.00018074999999999914
TLT,us_rates_and_ig_credit,degraded,2008-04-18,2008-05-17,29,22,,90.0,88.0,2.0,0.35000000000000003,1.65,165.0,0.6993865030674846,0.00016259909421110748,0.10147324143512938,0.6773953771444735,0.06634196507053879,16.082900623160917,16.0,92.77,91.84,false,2008-05-17,expiry,560.0,20.8,539.2,0.00026960000000000005
EEM,emerging_markets,degraded,2008-05-09,2008-06-21,43,22,,135.0,125.0,10.0,1.31,8.69,869.0,0.41055718475073316,0.004381118782416431,0.5428426480178982,1.5202480960775546,0.07046383543655303,3.2434446691163656,3.0,147.0,137.2,false,2008-06-21,expiry,393.0,3.9000000000000004,389.1,0.00019455
XLE,oil_and_energy,degraded,2008-05-09,2008-06-21,43,22,,79.0,73.0,6.0,0.88,5.12,512.0,0.6217008797653959,0.0017410751426505128,0.24948075307464368,1.4136736683085784,0.03745070206935946,2.9258360991687073,3.0,84.77,85.75,false,2008-06-21,expiry,264.0,3.9000000000000004,260.1,0.00013005000000000002
EEM,emerging_markets,degraded,2008-05-16,2008-06-21,36,22,,145.0,135.0,10.0,1.11,8.89,889.0,0.1416184971098266,0.002233354490327234,0.41901076747459165,1.23545,0.08235616036519798,3.705564020931293,4.0,155.1,137.2,true,2008-06-21,expiry,-2676.0000000000045,5.2,-2681.2000000000044,-0.0013406000000000021
SPY,us_large_cap_equity,degraded,2008-05-16,2008-06-21,36,22,,137.0,131.0,6.0,0.6599999999999999,5.34,534.0,0.38439306358381503,0.00002251723240955482,0.05,0.7408950000000001,0.027326117486985893,2.0469001862910785,2.0,142.66,131.58,true,2008-06-21,expiry,-951.9999999999975,2.6,-954.5999999999975,-0.00047729999999999875
XLE,oil_and_energy,degraded,2008-05-16,2008-06-21,36,22,,83.0,78.0,5.0,0.69,4.3100000000000005,431.00000000000006,0.5635838150289018,0.0013667459587281688,0.20811316049522682,1.371365,0.03319821070115006,3.0810404363016293,3.0,88.95,85.75,false,2008-06-21,expiry,207.0,3.9000000000000004,203.1,0.00010155
EEM,emerging_markets,degraded,2008-05-23,2008-06-21,29,22,,140.0,130.0,10.0,1.2400000000000002,8.76,876.0,0.3732193732193732,0.004284040505641457,0.5880121197771095,1.4444169618809857,0.08455170562516573,3.860808476034965,4.0,148.69,137.2,true,2008-06-21,expiry,-624.0000000000044,5.2,-629.2000000000045,-0.0003146000000000022
XLE,oil_and_energy,degraded,2008-05-23,2008-06-21,29,22,,82.0,77.0,5.0,0.8899999999999999,4.11,411.00000000000006,0.8148148148148148,0.002960114609146066,0.34475579445669585,1.56804098634581,0.04206472057298091,4.093890080095465,4.0,86.26,85.75,false,2008-06-21,expiry,355.99999999999994,5.2,350.79999999999995,0.00017539999999999998
